name,type,nyse,
"F5 Networks, Inc. ",NASDAQ,FFIV,_- Information Technology / Networking Equipment
Facebook Inc ,NASDAQ,FB,_- Information Technology / Internet Software & Services
"Family Dollar Stores, Inc. ",NYSE,FDO,_- Consumer Discretionary / General Merchandise Stores
Fastenal Company ,NASDAQ,FAST,_- Industrials / Building Products
FedEx Corporation ,NYSE,FDX,_- Industrials / Air Freight & Logistics
Fidelity National Information Services ,NYSE,FIS,_- Information Technology / Internet Software & Services
Fifth Third Bancorp ,NASDAQ,FITB,_- Financials / Banks
"First Solar, Inc. ",NASDAQ,FSLR,_- Information Technology / Semiconductors
FirstEnergy Corp. ,NYSE,FE,_- Utilities / Electric Utilities
Fiserv Inc ,NASDAQ,FISV,_- Information Technology / Internet Software & Services
"FLIR Systems, Inc. ",NASDAQ,FLIR,_- Industrials / Aerospace & Defense
Flowserve Corp ,NYSE,FLS,_- Industrials / Industrial Machinery
Fluor Corporation ,NYSE,FLR,_- Industrials / Diversified Commercial Services
FMC Corp ,NYSE,FMC,_- Materials / Diversified Chemicals
"FMC Technologies, Inc. ",NYSE,FTI,_- Energy / Oil & Gas Equipment & Services
Ford Motor Company ,NYSE,F,_- Consumer Discretionary / Automobile Manufacturers
Fossil Group Inc ,NASDAQ,FOSL,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
"Franklin Resources, Inc. ",NYSE,BEN,_- Financials / Asset Management & Custody Banks
Freeport-McMoRan Inc ,NYSE,FCX,
Frontier Communications Corp ,NASDAQ,FTR,_- Telecommunications Services / Integrated Telecommunications Services
GameStop Corp. ,NYSE,GME,_- Consumer Discretionary / Computer & Electronics Retail
"Gannett Co., Inc. ",NYSE,GCI,_- Consumer Discretionary / Publishing
Gap Inc ,NYSE,GPS,_- Consumer Discretionary / Apparel Retail
Garmin Ltd. ,NASDAQ,GRMN,_- Consumer Discretionary / Consumer Electronics
General Dynamics Corporation ,NYSE,GD,_- Industrials / Aerospace & Defense
General Electric Company ,NYSE,GE,_- Industrials / Industrial Conglomerates
General Growth Properties Inc ,NYSE,GGP,_- Financials / REITs
"General Mills, Inc. ",NYSE,GIS,_- Consumer Staples / Packaged Foods & Meats
General Motors Company ,NYSE,GM,_- Consumer Discretionary / Automobile Manufacturers
Genuine Parts Company ,NYSE,GPC,_- Consumer Discretionary / Specialty Stores
Genworth Financial Inc ,NYSE,GNW,_- Financials / Life & Health Insurance
"Gilead Sciences, Inc. ",NASDAQ,GILD,_- Health Care / Biotechnology
Goldman Sachs Group Inc ,NYSE,GS,_- Financials / Investment Banking & Brokerage
Goodyear Tire & Rubber Co ,NASDAQ,GT,_- Consumer Discretionary / Tires & Rubber
Google Inc ,NASDAQ,GOOG,_- Information Technology / Internet Software & Services
Grainger ,W.W.,, Inc. 
Halliburton Company ,NYSE,HAL,_- Energy / Oil & Gas Equipment & Services
Hanesbrands Inc. ,NYSE,HBI,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Harley-Davidson Inc ,NYSE,HOG,_- Consumer Discretionary / Motorcycle Manufacturers
Harman International Industries Inc. ,NYSE,HAR,_- Consumer Discretionary / Consumer Electronics
